subsector,tech,year,production_mt,capacity_mt,new_build_mt,direct_co2_mt,indirect_co2_mt,cost_meur
aluminium,alu_inert,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2030,-0.0,-0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2035,0.7152499999999993,0.7152499999999993,0.7152499999999993,0.02002699999999998,1.115789999999999,1726.4681850499303
aluminium,alu_inert,2040,1.4184999999999997,1.4184999999999997,0.7032500000000004,0.03971799999999999,1.3277159999999997,3351.9819330997243
aluminium,alu_inert,2045,2.1097499999999996,2.1097499999999996,0.6912499999999999,0.05907299999999999,1.0970699999999998,4876.9969066493795
aluminium,alu_inert,2050,2.1377499999999996,2.1377499999999996,0.028000000000000025,0.05985699999999999,0.3334889999999999,4831.842667983036
aluminium,alu_ref,2025,2.925,2.925,0.0,4.2588,9.696375,7583.157305945
aluminium,alu_ref,2030,2.8560000000000003,2.8560000000000003,0.6622500000000007,4.158336,6.55452,7236.282649497068
aluminium,alu_ref,2035,2.1247500000000006,2.1247500000000006,0.0,3.093636000000001,3.250867500000001,5397.826263010819
aluminium,alu_ref,2040,1.3935000000000006,1.3935000000000006,0.0,2.0289360000000007,1.2792330000000005,3570.0806865245686
aluminium,alu_ref,2045,0.6622500000000007,0.6622500000000007,0.0,0.964236000000001,0.33774750000000037,1686.8516850383185
aluminium,alu_ref,2050,0.6622500000000007,0.6622500000000007,0.0,0.964236000000001,0.1013242500000001,1677.0503850383186
aluminium,alu_sec,2025,3.575,3.575,0.0,0.3003,0.59255625,3263.9298193447157
aluminium,alu_sec,2030,3.9439999999999995,3.9439999999999995,1.2627499999999992,0.331296,0.4525739999999999,3587.6886359428136
aluminium,alu_sec,2035,4.26,4.26,1.2097500000000005,0.35784,0.32588999999999996,3875.3959623520245
aluminium,alu_sec,2040,4.588,4.588,1.2217500000000006,0.385392,0.21058919999999998,4179.288857105889
aluminium,alu_sec,2045,4.928,4.928,1.2337499999999997,0.41395200000000004,0.125664,4485.304760204408
aluminium,alu_sec,2050,5.2,5.2,0.27200000000000024,0.4368,0.03978,4728.970282683223
ammonia,ammonia_h2,2025,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2030,0.0,-0.0,0.0,0.0,0.0,0.0
