subsector,tech,year,production_mt,capacity_mt,new_build_mt,direct_co2_mt,indirect_co2_mt,cost_meur
aluminium,alu_inert,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2030,-0.0,-0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2035,0.5721999999999996,0.5721999999999996,0.5721999999999996,0.01602159999999999,0.8926319999999994,1328.6073923384188
aluminium,alu_inert,2040,1.1348000000000003,1.1348000000000003,0.5626000000000007,0.03177440000000001,1.0621728000000001,2577.3331726767547
aluminium,alu_inert,2045,1.6877999999999997,1.6877999999999997,0.5529999999999995,0.04725839999999999,0.8776559999999999,3746.5418710150025
aluminium,alu_inert,2050,2.24,2.24,0.5522000000000005,0.06272000000000001,0.34944000000000003,4857.167466686579
aluminium,alu_ref,2025,2.34,2.34,0.0,3.40704,7.757099999999999,6066.525844756001
aluminium,alu_ref,2030,2.2848,2.2848,0.5298000000000003,3.3266688,5.243616,5789.026119597654
aluminium,alu_ref,2035,1.6998000000000002,1.6998000000000002,0.0,2.4749088,2.6006940000000003,4318.261010408654
aluminium,alu_ref,2040,1.1148000000000002,1.1148000000000002,0.0,1.6231488000000003,1.0233864000000001,2856.0645492196545
aluminium,alu_ref,2045,0.5298000000000003,0.5298000000000003,0.0,0.7713888000000003,0.27019800000000016,1349.481348030654
aluminium,alu_ref,2050,0.0,0.5298000000000003,0.0,0.0,0.0,181.21936803065356
aluminium,alu_sec,2025,2.8600000000000003,2.8600000000000003,0.0,0.24024000000000004,0.474045,2611.1438554757733
aluminium,alu_sec,2030,3.1552000000000002,3.1552000000000002,1.0101999999999998,0.2650368,0.36205919999999997,2870.1509087542513
aluminium,alu_sec,2035,3.408,3.408,0.9678,0.286272,0.260712,3100.31676988162
aluminium,alu_sec,2040,3.6704000000000003,3.6704000000000003,0.9774000000000003,0.3083136,0.16847136000000001,3343.431085684712
aluminium,alu_sec,2045,3.9424,3.9424,0.9870000000000001,0.33116160000000006,0.1005312,3588.2438081635264
aluminium,alu_sec,2050,4.16,4.16,0.21760000000000002,0.34944000000000003,0.031824,3783.1762261465783
ammonia,ammonia_h2,2025,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2030,0.0,-0.0,0.0,0.0,0.0,0.0
